Group 1,Group 2,H,p-value,q-value
BAQ3473 (n=3),YUN3346 (n=2),3.0,0.08326451666355042,0.31713969684528687
BAQ3473 (n=3),YUN3428 (n=3),0.42857142857142705,0.5126907602619241,0.627784604402356
BAQ3473 (n=3),YUN3533 (n=5),1.0888888888888886,0.29671752632205745,0.42783439262414985
BAQ3473 (n=3),YUN3856 (n=5),2.68888888888889,0.10105025592541045,0.31713969684528687
BAQ4166 (n=5),BAQ4697 (n=3),5.0,0.025347318677468325,0.31713969684528687
BAQ4166 (n=5),YUN1005 (n=1),2.1428571428571423,0.14323490752466572,0.31713969684528687
BAQ4166 (n=5),YUN1242 (n=2),3.75,0.052807511416113395,0.31713969684528687
BAQ4166 (n=5),YUN1609 (n=1),2.1428571428571423,0.14323490752466572,0.31713969684528687
BAQ4166 (n=5),YUN2029 (n=1),2.1428571428571423,0.14323490752466572,0.31713969684528687
BAQ4166 (n=5),YUN3153 (n=1),2.1428571428571423,0.14323490752466572,0.31713969684528687
BAQ4166 (n=5),YUN3259 (n=3),1.0888888888888886,0.29671752632205745,0.42783439262414985
BAQ4166 (n=5),YUN3346 (n=2),2.3999999999999986,0.12133525035848367,0.31713969684528687
BAQ4166 (n=5),YUN3428 (n=3),0.02222222222221859,0.8814974521910232,0.936103489052414
BAQ4166 (n=5),YUN3533 (n=5),0.8836363636363629,0.34720763934942456,0.4629435191325661
BAQ4166 (n=5),YUN3856 (n=5),1.3200000000000003,0.2505920506856808,0.39053306600365834
BAQ4697 (n=3),YUN1005 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ4697 (n=3),YUN1242 (n=2),3.0,0.08326451666355042,0.31713969684528687
BAQ4697 (n=3),YUN1609 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ4697 (n=3),YUN2029 (n=1),0.1999999999999993,0.6547208460185774,0.7274676066873114
BAQ4697 (n=3),YUN3153 (n=1),1.8000000000000007,0.17971249487899588,0.31713969684528687
BAQ4697 (n=3),YUN3259 (n=3),0.42857142857142705,0.5126907602619241,0.627784604402356
BAQ4697 (n=3),YUN3346 (n=2),0.0,1.0,1.0
BAQ4697 (n=3),YUN3428 (n=3),1.1904761904761898,0.27523352407483126,0.4128502861122469
BAQ4697 (n=3),YUN3533 (n=5),5.0,0.025347318677468325,0.31713969684528687
BAQ4697 (n=3),YUN3856 (n=5),5.0,0.025347318677468325,0.31713969684528687
YUN1005 (n=1),YUN1242 (n=2),0.0,1.0,1.0
YUN1005 (n=1),YUN1609 (n=1),1.0,0.31731050786291115,0.42783439262414985
